Continent,Country,Code
Asia,Afghanistan,AFG
Europe,Albania,ALB
Africa,Algeria,DZA
Europe,Andorra,AND
Africa,Angola,AGO
North America,Antigua and Barbuda,ATG
South America,Argentina,ARG
Europe,Armenia,ARM
Oceania,Australia,AUS
Europe,Austria,AUT
Europe,Azerbaijan,AZE
North America,Bahamas,BHS
Asia,Bahrain,BHR
Asia,Bangladesh,BGD
North America,Barbados,BRB
Europe,Belarus,BLR
Europe,Belgium,BEL
North America,Belize,BLZ
Africa,Benin,BEN
Asia,Bhutan,BTN
South America,Bolivia,BOL
Europe,Bosnia and Herzegovina,BIH
Africa,Botswana,BWA
South America,Brazil,BRA
Asia,Brunei,VGB
Europe,Bulgaria,BRN
Africa,Burkina,BGR
Asia,Burma (Myanmar),BFA
Africa,Burundi,BDI
Asia,Cambodia,CPV
Africa,Cameroon,KHM
North America,Canada,CMR
Africa,Cape Verde,CVE
Africa,Central African Republic,
Africa,Chad,TCD
South America,Chile,CHL
Asia,China,CHN
South America,Colombia,COL
Africa,Comoros,COM
Africa,Congo,COD
Africa,"Congo, Democratic Republic of",COG
North America,Costa Rica,CRI
Africa,Cote d'Ivoire,CIV
Europe,Croatia,HRV
North America,Cuba,CUB
Europe,Cyprus,CYP
Europe,Czechia,CZE
Europe,Denmark,DNK
Africa,Djibouti,DJI
North America,Dominica,DMA
North America,Dominican Republic,DOM
Asia,East Timor,ECU
South America,Ecuador,ECU
Africa,Egypt,EGY
North America,El Salvador,SLV
Africa,Equatorial Guinea,GNQ
Africa,Eritrea,ERI
Europe,Estonia,EST
Africa,Ethiopia,ETH
Oceania,Fiji,FJI
Europe,Finland,FIN
Europe,France,FRA
Africa,Gabon,GAB
Africa,Gambia,GMB
Europe,Georgia,GEO
Europe,Germany,DEU
Africa,Ghana,GHA
Europe,Greece,GRC
North America,Greenland,GRL
North America,Grenada,GRD
North America,Guatemala,GTM
Africa,Guinea,GIN
Africa,Guinea-Bissau,GNB
South America,Guyana,GUY
North America,Haiti,HTI
North America,Honduras,HND
Europe,Hungary,HUN
Europe,Iceland,ISL
Asia,India,IND
Asia,Indonesia,IDN
Asia,Iran,IRN
Asia,Iraq,IRQ
Europe,Ireland,IRL
Asia,Israel,ISR
Europe,Italy,ITA
Africa,Ivory Coast,CIV
North America,Jamaica,JAM
Asia,Japan,JPN
Asia,Jordan,JOR
Asia,Kazakhstan,KAZ
Africa,Kenya,KEN
Oceania,Kiribati,KIR
Asia,"Korea, North",PRK
Asia,"Korea, South",KOR
Asia,Kosovo,XKX
Asia,Kuwait,KWT
Asia,Kyrgyzstan,KGZ
Asia,Laos,LAO
Europe,Latvia,LVA
Asia,Lebanon,LBN
Africa,Lesotho,LSO
Africa,Liberia,LBR
Africa,Libya,LBY
Europe,Liechtenstein,LIE
Europe,Lithuania,LTU
Europe,Luxembourg,LUX
Europe,Macedonia,MKD
Africa,Madagascar,MDG
Africa,Malawi,MWI
Asia,Malaysia,MYS
Asia,Maldives,MDV
Africa,Mali,MLI
Europe,Malta,MLT
Oceania,Marshall Islands,MHL
Africa,Mauritania,MRT
Africa,Mauritius,MUS
North America,Mexico,MEX
Oceania,Micronesia,FSM
Europe,Moldova,MDA
Europe,Monaco,MCO
Asia,Mongolia,MNG
Europe,Montenegro,MNE
Africa,Morocco,MAR
Africa,Mozambique,MOZ
Asia,Myanmar,MMR
Africa,Namibia,NAM
Oceania,Nauru,NRU
Asia,Nepal,NPL
Europe,Netherlands,NLD
Oceania,New Zealand,NZL
North America,Nicaragua,NIC
Africa,Niger,NER
Africa,Nigeria,NGA
Europe,Norway,NOR
Asia,Oman,OMN
Asia,Pakistan,PAK
Oceania,Palau,PLW
North America,Panama,PAN
Oceania,Papua New Guinea,PNG
South America,Paraguay,PRY
South America,Peru,PER
Asia,Philippines,PHL
Europe,Poland,POL
Europe,Portugal,PRT
Asia,Qatar,QAT
Europe,Romania,ROU
Asia,Russian Federation,RUS
Africa,Rwanda,RWA
Oceania,Samoa,WSM
Europe,San Marino,SMR
Africa,Sao Tome and Principe,STP
Asia,Saudi Arabia,SAU
Africa,Senegal,SEN
Europe,Serbia,SRB
Africa,Seychelles,SYC
Africa,Sierra Leone,SLE
Asia,Singapore,SGP
Europe,Slovakia,SVK
Europe,Slovenia,SVN
Oceania,Solomon Islands,
Africa,Somalia,SLB
Africa,South Africa,SOM
Africa,South Sudan,ZAF
Europe,Spain,ESP
Asia,Sri Lanka,LKA
Africa,Sudan,SDN
South America,Suriname,SUR
Europe,Sweden,SWE
Europe,Switzerland,CHE
Asia,Syria,SYR
Asia,Tajikistan,TJK
Africa,Tanzania,TZA
Asia,Thailand,THA
Africa,Togo,TGO
Oceania,Tonga,TON
North America,Trinidad and Tobago,TTO
Africa,Tunisia,TUN
Asia,Turkey,TUR
Asia,Turkmenistan,TKM
Oceania,Tuvalu,TUV
Africa,Uganda,UGA
Europe,Ukraine,UKR
Asia,United Arab Emirates,ARE
Europe,United Kingdom,GBR
North America,United States,USA
South America,Uruguay,URY
Asia,Uzbekistan,UZB
Oceania,Vanuatu,VUT
South America,Venezuela,VEN
Asia,Vietnam,VNM
Asia,Yemen,YEM
Africa,Zambia,ZMB
Africa,Zimbabwe,ZWE
