Country Code,Year,"Inflation, consumer prices (annual %)"
Canada,2020,0.716999632307852
Canada,2019,1.94926902411596
Canada,2018,2.268225672481
Canada,2017,1.5968841285297
Canada,2016,1.4287595470108
Canada,2015,1.12524136094279
Canada,2014,1.90663590717873
Canada,2013,0.93829189781521
Canada,2012,1.51567823124521
Canada,2011,2.91213508872355
Canada,2010,1.77687154092629
Germany,2020,0.144877925813972
Germany,2019,1.44565976888251
Germany,2018,1.73216879766946
Germany,2017,1.50949485109622
Germany,2016,0.491747008445241
Germany,2015,0.514426137125476
Germany,2014,0.90679400043421
Germany,2013,1.50472330251883
Germany,2012,2.00848884782951
Germany,2011,2.07517283735872
Germany,2010,1.10381037789263
France,2020,0.476498852725083
France,2019,1.10825492288292
France,2018,1.85081508315494
France,2017,1.03228275064674
France,2016,0.183334861123848
France,2015,0.0375143805125363
France,2014,0.507758822937957
France,2013,0.863715497861826
France,2012,1.95419531613507
France,2011,2.11159795174997
France,2010,1.53112270420924
United States,2020,1.23358439630637
United States,2019,1.81221007526015
United States,2018,2.44258329692818
United States,2017,2.13011000365963
United States,2016,1.26158320570537
United States,2015,0.118627135552435
United States,2014,1.62222297740821
United States,2013,1.46483265562714
United States,2012,2.06933726526059
United States,2011,3.15684156862206
United States,2010,1.64004344238989
